date,open,high,close,low,volume,amount
2017-06-30,19.33,19.43,19.33,19.1,75109183.0,1274740920.0
2017-06-29,19.4,19.52,19.41,19.28,66834132.0,1140795918.0
2017-06-28,19.4,19.61,19.41,19.32,87105025.0,1494472573.0
2017-06-27,19.59,19.63,19.43,19.38,92402416.0,1585189966.0
2017-06-26,19.24,19.77,19.6,19.19,211319532.0,3640807960.0
2017-06-23,19.16,19.25,19.24,18.98,92670429.0,1561999698.0
2017-06-22,18.98,19.51,19.19,18.93,167313182.0,2843630659.0
2017-06-21,19.18,19.49,19.05,18.94,113568198.0,1918364216.0
2017-06-20,18.97,19.05,18.94,18.83,63026965.0,1050731531.0
2017-06-19,18.47,18.99,18.98,18.46,109275035.0,1813958143.0
2017-06-16,18.68,18.81,18.52,18.5,38715785.0,635844340.0
2017-06-15,18.59,18.78,18.69,18.54,48097038.0,790471591.0
2017-06-14,18.68,18.68,18.57,18.5,41949503.0,685582902.0
2017-06-13,18.63,18.75,18.65,18.52,41921274.0,688583112.0
2017-06-12,18.75,19.0,18.66,18.51,87459398.0,1444360697.0
2017-06-09,18.71,19.02,18.82,18.66,116057507.0,1924941080.0
2017-06-08,18.63,18.72,18.67,18.54,56454044.0,926703033.0
2017-06-07,18.47,18.72,18.59,18.43,79532249.0,1302537786.0
2017-06-06,18.42,18.54,18.46,18.32,33921310.0,550065968.0
2017-06-05,18.58,18.65,18.41,18.35,47757300.0,774994982.0
2017-06-02,18.6,18.8,18.6,18.55,54782136.0,899225780.0
2017-06-01,18.65,18.82,18.59,18.57,58340737.0,958375869.0
2017-05-31,18.76,19.03,18.67,18.49,79927882.0,1320371949.0
2017-05-26,18.51,18.94,18.61,18.5,120919573.0,1998363134.0
2017-05-25,17.77,18.68,18.64,17.77,165936033.0,2691135105.0
2017-05-24,17.82,17.97,17.93,17.75,36432544.0,573622363.0
2017-05-23,17.63,17.99,17.86,17.58,56519351.0,886879324.0
2017-05-22,17.84,17.86,17.66,17.59,34428764.0,536568136.0
2017-05-19,17.8,17.92,17.84,17.8,25183321.0,396274888.0
2017-05-18,17.92,18.01,17.81,17.81,40548958.0,638944853.0
2017-05-17,17.99,18.22,17.99,17.97,45971425.0,731628964.0
2017-05-16,17.98,18.04,17.99,17.83,35346866.0,558407467.0
2017-05-15,17.8,18.15,17.96,17.8,64551979.0,1023995011.0
2017-05-12,17.6,17.88,17.77,17.58,47326279.0,740996671.0
2017-05-11,17.55,17.73,17.63,17.32,57157388.0,880951405.0
2017-05-10,17.73,17.77,17.58,17.57,31289812.0,487129719.0
2017-05-09,17.79,17.84,17.72,17.69,27001617.0,422103974.0
2017-05-08,17.74,17.96,17.79,17.58,59688974.0,933446099.0
2017-05-05,18.24,18.27,17.92,17.65,138984946.0,2188258770.0
2017-05-04,18.18,18.35,18.24,18.18,34797443.0,559891863.0
2017-05-03,18.32,18.38,18.23,18.16,35587941.0,571208732.0
2017-05-02,18.46,18.47,18.3,18.27,32206805.0,520471400.0
2017-04-28,18.43,18.5,18.43,18.34,37879942.0,614555791.0
2017-04-27,18.39,18.46,18.43,18.29,42792544.0,692090038.0
2017-04-26,18.32,18.56,18.4,18.23,53165455.0,862191848.0
2017-04-25,18.4,18.46,18.31,18.3,36791115.0,595355553.0
2017-04-24,18.4,18.56,18.51,18.22,83536193.0,1353693184.0
2017-04-21,18.26,18.47,18.46,18.22,46651847.0,754076876.0
2017-04-20,18.24,18.3,18.29,18.11,38438790.0,616781704.0
2017-04-19,18.18,18.24,18.23,18.01,59929605.0,956459537.0
2017-04-18,18.32,18.41,18.21,18.19,34323930.0,553041249.0
2017-04-17,18.3,18.43,18.38,18.19,40787009.0,657361972.0
2017-04-14,18.49,18.52,18.38,18.27,59255956.0,958928351.0
2017-04-13,18.51,18.57,18.5,18.44,37720783.0,614649737.0
