date,open,high,close,low,volume,amount
2016-12-30,14.1,14.26,14.21,13.95,4360119.0,58889841.0
2016-12-29,14.1,14.31,14.2,13.95,2673089.0,36196457.0
2016-12-28,14.03,14.16,14.07,13.99,2395918.0,32151817.0
2016-12-27,14.03,14.18,14.03,14.0,1874514.0,25191142.0
2016-12-26,13.76,14.29,14.11,13.61,3529001.0,47141177.0
2016-12-23,13.86,13.93,13.79,13.68,1665085.0,21905846.0
2016-12-22,13.91,13.98,13.95,13.82,1370407.0,18204867.0
2016-12-21,13.82,13.99,13.92,13.8,1677684.0,22306551.0
2016-12-20,13.88,13.88,13.76,13.74,2261427.0,29845495.0
2016-12-19,13.76,13.89,13.84,13.74,1395021.0,18432160.0
2016-12-16,13.71,13.91,13.84,13.64,1978342.0,26111164.0
2016-12-15,13.5,13.91,13.74,13.41,3291367.0,42892722.0
2016-12-14,13.54,13.66,13.46,13.41,2659027.0,34510491.0
2016-12-13,13.52,13.66,13.59,13.34,2865146.0,37066212.0
2016-12-12,14.34,14.39,13.5,13.5,4931876.0,65263106.0
2016-12-09,14.42,14.5,14.39,14.36,2529424.0,34852635.0
2016-12-08,14.58,14.64,14.42,14.37,2552359.0,35376346.0
2016-12-07,14.41,14.6,14.59,14.32,3802591.0,52520570.0
2016-12-06,14.32,14.47,14.4,14.32,2199583.0,30222124.0
2016-12-05,14.28,14.51,14.33,14.24,1879364.0,25853290.0
2016-12-02,14.59,14.61,14.38,14.33,3000218.0,41415190.0
2016-12-01,14.48,14.71,14.64,14.45,4630073.0,64749384.0
2016-11-30,14.75,14.75,14.49,14.39,4619414.0,64330147.0
2016-11-29,14.99,15.04,14.74,14.66,4827209.0,68411963.0
2016-11-28,14.98,15.11,15.02,14.92,4630193.0,66391478.0
2016-11-25,15.1,15.18,14.96,14.67,4124034.0,58713864.0
2016-11-24,15.19,15.28,15.1,15.08,3835257.0,55477260.0
2016-11-23,15.45,15.61,15.18,15.1,5020188.0,73564483.0
2016-11-22,15.67,15.72,15.5,15.39,4589584.0,68121443.0
2016-11-21,15.15,15.77,15.68,15.07,7546697.0,111207031.0
2016-11-18,14.95,15.3,15.08,14.89,4168456.0,60265982.0
2016-11-17,14.95,15.15,14.98,14.81,3785297.0,54130074.0
2016-11-16,15.22,15.3,14.98,14.97,5207632.0,75191275.0
2016-11-15,14.88,15.53,15.33,14.82,6781415.0,98209477.0
2016-11-14,14.78,14.94,14.91,14.66,4921640.0,69685409.0
2016-11-11,14.68,14.88,14.81,14.59,5089610.0,71662602.0
2016-11-10,14.43,14.7,14.66,14.43,4522021.0,63118116.0
2016-11-09,14.51,14.64,14.33,14.15,4027488.0,55528602.0
2016-11-08,14.5,14.58,14.46,14.43,2993367.0,41467663.0
2016-11-07,14.5,14.68,14.44,14.38,3394030.0,47104624.0
2016-11-04,14.65,14.76,14.64,14.44,3690388.0,51496845.0
2016-11-03,14.42,14.82,14.71,14.4,4984719.0,69759167.0
2016-11-02,14.54,14.73,14.51,14.46,4950286.0,69024116.0
2016-11-01,14.28,14.73,14.66,14.28,8255277.0,115055711.0
2016-10-31,14.25,14.41,14.31,14.17,2670451.0,36468885.0
2016-10-28,14.29,14.44,14.36,14.18,4195816.0,57476919.0
2016-10-27,14.27,14.49,14.32,14.27,2799182.0,38451949.0
