,date,open,close,high,low,volume,code
0,2010-01-04,17.445,17.058,17.609,17.031,1106207.58,600030
1,2010-01-05,17.2,17.892,18.045,16.796,2093915.41,600030
2,2010-01-06,17.99,17.685,18.072,17.663,1437889.3,600030
3,2010-01-07,17.674,17.254,17.925,17.118,1235592.34,600030
4,2010-01-08,17.14,17.587,17.641,17.064,1040929.92,600030
5,2010-01-11,19.348,18.219,19.348,18.072,3089308.74,600030
6,2010-01-12,17.99,18.307,18.465,17.647,1334600.77,600030
7,2010-01-13,17.8,17.331,18.072,17.26,1828043.8,600030
8,2010-01-14,17.407,17.587,17.767,17.129,1101306.51,600030
9,2010-01-15,17.609,17.434,17.712,17.293,919581.76,600030
10,2010-01-18,17.145,16.851,17.145,16.627,1793273.87,600030
11,2010-01-19,16.856,16.9,17.14,16.737,1162183.66,600030
12,2010-01-20,16.791,16.12,16.791,16.028,2146467.45,600030
13,2010-01-21,16.164,16.246,16.322,15.875,1138819.91,600030
14,2010-01-22,15.919,15.924,16.137,15.543,1217141.22,600030
15,2010-01-25,15.815,15.902,16.159,15.695,761392.82,600030
16,2010-01-26,15.919,15.515,16.055,15.379,815277.19,600030
17,2010-01-27,15.543,15.412,15.663,15.385,643077.53,600030
18,2010-01-28,15.412,15.521,15.537,15.265,514751.02,600030
19,2010-01-29,15.439,15.417,15.788,15.374,660252.87,600030
20,2010-02-01,15.21,14.414,15.21,14.321,1367974.28,600030
21,2010-02-02,14.523,14.207,14.61,14.163,845143.4,600030
22,2010-02-03,14.447,14.801,14.812,14.12,1149158.07,600030
23,2010-02-04,14.627,14.654,14.818,14.561,674875.85,600030
24,2010-02-05,14.18,14.327,14.463,14.163,661347.08,600030
25,2010-02-08,14.338,14.621,14.845,14.261,539457.88,600030
26,2010-02-09,14.55,14.643,14.801,14.501,460836.54,600030
27,2010-02-10,14.774,14.856,14.867,14.61,523532.07,600030
28,2010-02-11,14.883,14.856,14.954,14.79,424334.93,600030
29,2010-02-12,14.894,14.894,14.932,14.725,429965.38,600030
30,2010-02-22,14.992,15.003,15.188,14.888,549620.54,600030
31,2010-02-23,14.937,14.632,14.937,14.425,582787.3,600030
32,2010-02-24,14.501,14.79,14.812,14.43,415265.39,600030
33,2010-02-25,14.905,15.052,15.145,14.818,701810.46,600030
34,2010-02-26,15.036,14.894,15.041,14.845,478021.36,600030
35,2010-03-01,14.883,15.123,15.172,14.85,548530.38,600030
36,2010-03-02,15.134,14.981,15.183,14.894,497949.92,600030
37,2010-03-03,14.937,15.047,15.101,14.774,606625.09,600030
38,2010-03-04,15.052,14.518,15.052,14.501,668870.71,600030
39,2010-03-05,14.556,14.785,14.937,14.556,651254.44,600030
40,2010-03-08,14.828,14.763,14.85,14.659,410568.91,600030
41,2010-03-09,14.758,14.823,14.921,14.534,501657.33,600030
42,2010-03-10,14.861,14.85,15.101,14.785,579817.24,600030
43,2010-03-11,14.959,15.177,15.265,14.834,1008127.85,600030
44,2010-03-12,15.188,15.106,15.368,15.074,890797.21,600030
45,2010-03-15,15.265,15.139,15.308,15.014,614735.98,600030
46,2010-03-16,15.117,15.33,15.39,15.101,642191.34,600030
47,2010-03-17,15.401,15.537,15.548,15.237,765152.63,600030
48,2010-03-18,15.526,15.39,15.554,15.308,546168.89,600030
49,2010-03-19,15.401,15.39,15.428,15.177,545762.22,600030
50,2010-03-22,15.526,15.303,15.532,15.281,657245.58,600030
51,2010-03-23,15.325,15.079,15.357,15.074,553522.43,600030
52,2010-03-24,15.139,15.063,15.237,15.019,485152.63,600030
53,2010-03-25,15.047,14.768,15.052,14.736,568818.72,600030
54,2010-03-26,14.758,14.943,15.019,14.698,493786.71,600030
55,2010-03-29,15.079,15.461,15.51,15.079,1048069.08,600030
56,2010-03-30,15.472,15.412,15.51,15.292,513965.74,600030
57,2010-03-31,15.701,15.494,15.772,15.455,881912.5,600030
58,2010-04-01,15.51,15.695,15.739,15.401,933217.33,600030
59,2010-04-02,15.717,15.706,15.75,15.603,630402.93,600030
60,2010-04-06,15.733,15.761,15.957,15.657,727348.75,600030
61,2010-04-07,15.728,15.477,15.728,15.368,666821.71,600030
62,2010-04-08,15.417,15.237,15.417,15.216,581927.91,600030
63,2010-04-09,15.243,15.385,15.417,15.237,431306.94,600030
64,2010-04-12,15.379,15.194,15.504,15.079,603174.43,600030
65,2010-04-13,15.194,15.695,15.706,15.172,986559.58,600030
66,2010-04-14,15.723,15.635,15.75,15.543,543226.03,600030
67,2010-04-15,15.728,15.777,15.941,15.619,926501.6,600030
68,2010-05-04,14.202,14.202,14.202,14.202,145743.0,600030
69,2010-05-05,12.784,13.106,13.231,12.784,2238830.14,600030
70,2010-05-06,12.866,12.059,12.964,11.994,1273716.73,600030
71,2010-05-07,11.994,12.015,12.359,11.601,795767.15,600030
72,2010-05-10,11.994,11.988,12.152,11.639,616947.79,600030
73,2010-05-11,12.332,11.421,12.332,11.399,875373.38,600030
74,2010-05-12,11.329,11.454,11.563,11.067,673667.63,600030
75,2010-05-13,11.481,11.781,11.792,11.454,720689.28,600030
76,2010-05-14,11.639,11.563,11.754,11.503,501513.81,600030
77,2010-05-17,11.339,10.642,11.339,10.631,914392.71,600030
78,2010-05-18,10.718,10.941,11.023,10.636,687124.53,600030
79,2010-05-19,10.794,10.789,10.985,10.685,562475.08,600030
80,2010-05-20,10.68,10.696,10.947,10.636,445167.0,600030
81,2010-05-21,10.358,10.789,10.86,10.276,629161.12,600030
82,2010-05-24,10.876,11.443,11.579,10.876,1048151.96,600030
83,2010-05-25,11.279,11.198,11.367,10.991,753596.26,600030
84,2010-05-26,11.279,11.23,11.367,11.132,436307.25,600030
85,2010-05-27,11.241,11.378,11.448,10.974,529132.3,600030
86,2010-05-28,11.503,11.252,11.557,11.181,453228.96,600030
87,2010-05-31,11.149,10.794,11.214,10.772,460319.26,600030
88,2010-06-01,10.712,10.625,10.805,10.511,431819.54,600030
89,2010-06-02,10.565,10.849,10.898,10.44,473608.12,600030
90,2010-06-03,10.854,10.696,10.914,10.68,437749.44,600030
91,2010-06-04,10.631,10.871,11.056,10.587,458704.0,600030
92,2010-06-07,10.625,10.62,10.718,10.549,409362.57,600030
93,2010-06-08,10.603,10.68,10.822,10.538,300381.43,600030
