,date,open,close,high,low,volume,code
0,2012-01-04,5.437,5.183,5.437,5.148,1512.0,002397
1,2012-01-05,5.084,4.955,5.084,4.8,3389.0,002397
2,2012-01-06,4.806,4.918,4.941,4.692,4425.0,002397
3,2012-01-09,4.797,4.97,4.98,4.679,2581.0,002397
4,2012-01-10,4.897,5.14,5.148,4.793,2586.0,002397
5,2012-01-11,5.047,5.049,5.138,5.005,2092.0,002397
6,2012-01-12,5.049,4.887,5.049,4.837,3437.0,002397
7,2012-01-13,4.768,4.64,4.845,4.517,3827.0,002397
8,2012-01-16,4.569,4.233,4.569,4.212,3172.0,002397
9,2012-01-17,4.233,4.391,4.482,4.16,4149.0,002397
10,2012-01-18,4.389,4.295,4.461,4.233,10131.0,002397
11,2012-01-19,4.254,4.436,4.439,4.194,11042.0,002397
12,2012-01-20,4.436,4.515,4.586,4.382,5491.0,002397
13,2012-01-30,4.515,4.482,4.596,4.424,4040.0,002397
14,2012-01-31,4.48,4.482,4.503,4.42,1368.0,002397
15,2012-02-01,4.486,4.42,4.503,4.362,1782.0,002397
16,2012-02-02,4.42,4.428,4.453,4.366,4220.0,002397
17,2012-02-03,4.47,4.524,4.524,4.401,4271.0,002397
18,2012-02-06,4.561,4.503,4.561,4.468,6876.0,002397
19,2012-02-07,4.492,4.341,4.492,4.308,5742.0,002397
20,2012-02-08,4.341,4.436,4.451,4.275,11090.0,002397
21,2012-02-09,4.397,4.492,4.524,4.382,9339.0,002397
22,2012-02-10,4.48,4.517,4.602,4.455,9366.0,002397
23,2012-02-13,4.515,4.814,4.831,4.468,15152.0,002397
24,2012-02-14,4.814,4.779,4.872,4.731,8591.0,002397
25,2012-02-15,4.741,4.835,4.835,4.737,10509.0,002397
26,2012-02-16,4.814,4.88,4.955,4.748,12448.0,002397
27,2012-02-17,4.88,4.984,5.04,4.841,10513.0,002397
28,2012-02-20,5.082,4.947,5.082,4.922,7535.0,002397
29,2012-02-21,4.922,4.941,4.97,4.795,4901.0,002397
30,2012-02-22,4.91,4.949,4.966,4.872,11533.0,002397
31,2012-02-23,4.949,5.063,5.119,4.934,22531.0,002397
32,2012-02-24,5.049,5.14,5.146,4.982,8352.0,002397
33,2012-02-27,5.163,5.067,5.163,5.03,9771.0,002397
34,2012-02-28,5.053,4.88,5.053,4.845,8236.0,002397
35,2012-02-29,4.827,4.748,4.895,4.741,7510.0,002397
36,2012-03-01,4.729,4.835,4.835,4.602,18075.0,002397
37,2012-03-02,4.814,4.818,4.839,4.737,17344.0,002397
38,2012-03-05,4.82,4.675,4.854,4.638,27687.0,002397
39,2012-03-06,4.656,4.575,4.685,4.544,17590.0,002397
40,2012-03-07,4.53,4.54,4.611,4.503,12197.0,002397
41,2012-03-08,4.565,4.59,4.605,4.536,10984.0,002397
42,2012-03-09,4.602,4.741,4.741,4.602,19968.0,002397
43,2012-03-12,4.748,4.741,4.856,4.679,26985.0,002397
44,2012-03-13,4.744,4.847,4.851,4.721,24376.0,002397
45,2012-03-14,4.864,4.777,5.028,4.69,34468.0,002397
46,2012-03-15,4.752,4.824,4.891,4.629,15347.0,002397
47,2012-03-16,4.822,5.022,5.032,4.814,24591.0,002397
48,2012-03-19,5.069,4.999,5.09,4.963,16550.0,002397
49,2012-03-20,5.003,4.851,5.003,4.793,11437.0,002397
50,2012-03-21,4.897,4.791,4.897,4.71,8699.0,002397
51,2012-03-22,4.669,4.737,4.783,4.669,6024.0,002397
52,2012-03-23,4.744,4.567,4.764,4.555,9749.0,002397
53,2012-03-26,4.565,4.575,4.575,4.507,4880.0,002397
54,2012-03-27,4.588,4.582,4.648,4.54,4552.0,002397
55,2012-03-28,4.546,4.358,4.592,4.358,4749.0,002397
56,2012-03-29,4.233,4.275,4.329,4.233,5056.0,002397
57,2012-03-30,4.287,4.216,4.326,4.177,4288.0,002397
58,2012-04-05,4.216,4.372,4.391,4.214,4621.0,002397
59,2012-04-06,4.374,4.376,4.441,4.316,4654.0,002397
60,2012-04-09,4.432,4.418,4.478,4.353,8112.0,002397
61,2012-04-10,4.316,4.206,4.316,3.999,17865.0,002397
62,2012-04-11,4.075,4.067,4.146,4.019,22343.0,002397
63,2012-04-12,4.067,4.142,4.144,4.059,22470.0,002397
